"region","physical_pc","virtual_pc","instructions"
"ROME","0xec3a1d","0x8a1d","3164"
"ROME","0xea8196","0xd196","3048"
"ROME","0xec34e0","0x84e0","3029"
"ROME","0xec36a3","0x86a3","3029"
"ROME","0xec38a8","0x88a8","2938"
"ROME","0xec3a8d","0x8a8d","2938"
"ROME","0xeb75b5","0x85b5","2916"
"ROME","0xeb761c","0x861c","2910"
"ROME","0xeb6077","0x7077","2904"
"ROME","0xeb8b2d","0x5b2d","2754"
"ROME","0xeb8b49","0x5b49","2754"
"ROME","0xec30d9","0x80d9","2733"
"ROME","0xec30dc","0x80dc","2733"
"ROME","0xec310a","0x810a","2733"
"ROME","0xec310d","0x810d","2733"
"ROME","0xec310f","0x810f","2733"
"ROME","0xec3137","0x8137","2733"
"ROME","0xec3153","0x8153","2733"
"ROME","0xec316d","0x816d","2733"
"ROME","0xec31c9","0x81c9","2733"
"ROME","0xec31e3","0x81e3","2733"
"ROME","0xec39fd","0x89fd","2712"
"ROME","0xea8c06","0xdc06","2552"
"ROME","0xeb6101","0x7101","2541"
"ROME","0xec36d1","0x86d1","2486"
"ROME","0xec391a","0x891a","2486"
"ROME","0xeaa67c","0xf67c","2362"
"ROME","0xeb5981","0x6981","2358"
"ROME","0xeb55e4","0x65e4","2352"
"ROME","0xea818c","0xd18c","2328"
"ROME","0xeb515c","0x615c","2208"
"ROME","0xeb7816","0x8816","2190"
"ROME","0xeb8bc2","0x5bc2","2074"
"ROME","0xeb5567","0x6567","1976"
"ROME","0xeb752d","0x852d","1950"
"ROME","0xeb7592","0x8592","1944"
"ROME","0xea819c","0xd19c","1940"
"ROME","0xeaa647","0xf647","1920"
"ROME","0xeb9c8c","0x6c8c","1890"
"ROME","0xeb60b4","0x70b4","1820"
"ROME","0xeb605b","0x705b","1815"
"ROME","0xeb60f3","0x70f3","1815"
"ROME","0xea8cb1","0xdcb1","1786"
"ROME","0xeb50a9","0x60a9","1728"
"ROME","0xec3640","0x8640","1631"
"ROME","0xec364e","0x864e","1631"
"ROME","0xeaa48b","0xf48b","1614"
"ROME","0xeb5842","0x6842","1572"
"ROME","0xeb585e","0x685e","1572"
"ROME","0xed64d7","0x74d7","1530"
"ROME","0xea8b7d","0xdb7d","1500"
"ROME","0xeb75c4","0x85c4","1458"
"ROME","0xeb75cb","0x85cb","1458"
"ROME","0xeb7615","0x8615","1455"
"ROME","0xeb74c1","0x84c1","1440"
"ROME","0xeb74c9","0x84c9","1440"
"ROME","0xeb9ca3","0x6ca3","1440"
"ROME","0xec11f5","0x61f5","1438"
"ROME","0xeb9c94","0x6c94","1430"
"ROME","0xeb8dc9","0x5dc9","1377"
"ROME","0xeb6a14","0x7a14","1344"
"ROME","0xeb8bbf","0x5bbf","1316"
"ROME","0xea8c80","0xdc80","1278"
"ROME","0xea8bf2","0xdbf2","1276"
"ROME","0xea8bf6","0xdbf6","1276"
"ROME","0xea8bfb","0xdbfb","1276"
"ROME","0xea8cf4","0xdcf4","1217"
"ROME","0xec356f","0x856f","1130"
"ROME","0xec372e","0x872e","1130"
"ROME","0xec3762","0x8762","1130"
"ROME","0xec3764","0x8764","1130"
"ROME","0xec3988","0x8988","1130"
"ROME","0xeb5185","0x6185","1104"
"ROME","0xeaa5bd","0xf5bd","1098"
"ROME","0xeb604f","0x704f","1089"
"ROME","0xeb6151","0x7151","1089"
"ROME","0xea8cb5","0xdcb5","1024"
"ROME","0xec39f8","0x89f8","1017"
"ROME","0xeb50ea","0x60ea","896"
"ROME","0xea8cbc","0xdcbc","893"
"ROME","0xeb69c5","0x79c5","840"
"ROME","0xeaa4a2","0xf4a2","816"
"ROME","0xeb620a","0x720a","816"
"ROME","0xec359a","0x859a","812"
"ROME","0xec35e3","0x85e3","812"
"ROME","0xec3617","0x8617","812"
"ROME","0xec3619","0x8619","812"
"ROME","0xeb7553","0x8553","810"
"ROME","0xea8184","0xd184","800"
"ROME","0xea8cef","0xdcef","800"
"ROME","0xec3797","0x8797","791"
"ROME","0xec39fa","0x89fa","791"
